,Names,Ages,Positions,Clubs,Nationalities,"Values, €"
88,Alex Kral,24,DM,FC Schalke 04,Czech Republic,4.50m
89,Alex Meret,25,GK,SSC Napoli,Italy,13.00m
90,Álex Moreno,29,LB,Aston Villa,Spain,20.00m
91,Alex Oxlade-Chamberlain,29,CM,Liverpool FC,England,10.00m
92,Álex Remiro,27,GK,Real Sociedad,Spain,25.00m
93,Alex Sandro,32,LB,Juventus FC,Brazil,4.50m
94,Álex Sola,23,RB,Real Sociedad,Spain,3.00m
95,Alex Telles,30,LB,Sevilla FC,Brazil,14.00m
96,Alexander Bah,25,RB,SL Benfica,Denmark,8.00m
97,Alexander Djiku,28,CB,RC Strasbourg Alsace,Ghana,8.00m
98,Alexander Domínguez,35,GK,LDU Quito,Ecuador,600k
99,Alexander Hack,29,CB,1.FSV Mainz 05,Germany,2.50m
100,Alexander Nübel,26,GK,AS Monaco,Germany,10.00m
101,Alexander Schwolow,30,GK,FC Schalke 04,Germany,1.50m
102,Alexander Sörloth,27,CF,Real Sociedad,Norway,10.00m
103,Alexandre Lacazette,31,CF,Olympique Lyon,France,12.00m
104,Alexis Beka Beka,21,DM,OGC Nice,France,6.00m
105,Alexis Blin,26,DM,US Lecce,France,2.00m
106,Alexis Claude-Maurice,24,AM,RC Lens,France,5.00m
107,Alexis Flips,23,RW,Stade Reims,France,3.00m
108,Alexis Mac Allister,24,CM,Brighton & Hove Albion,Argentina,42.00m
109,Alexis Sánchez,34,CF,Olympique Marseille,Chile,4.50m
110,Alexis Vega,25,LW,Deportivo Guadalajara,Mexico,8.00m
111,Alexsandro,45,AM,Клуба нет,Brazil,-
112,Alfonso Espino,31,LB,Cádiz CF,Uruguay,4.00m
113,Alfonso Pedraza,26,LB,Villarreal CF,Spain,18.00m
114,Alfred Duncan,29,CM,ACF Fiorentina,Ghana,6.50m
115,Alfred Gomis,29,GK,Como 1907,Senegal,3.00m
116,Ali Abdi,29,LB,SM Caen,Tunisia,1.50m
117,Ali Al-Hassan,25,DM,Al-Nassr FC,Saudi Arabia,500k
118,Ali Asad,33,Attack,Клуба нет,Sierra Leone,-
119,Ali Gholizadeh,26,RW,Kasimpasa,Iran,2.00m
120,Alidu Seidu,22,CB,Clermont Foot 63,Ghana,4.50m
121,Alireza Jahanbakhsh,29,RW,Feyenoord Rotterdam,Iran,3.00m
122,Alisson,30,GK,Liverpool FC,Brazil,50.00m
123,Alistair Johnston,24,RB,Celtic FC,Canada,6.00m
124,Allan Saint-Maximin,25,LW,Newcastle United,France,40.00m
125,Almoez Ali,26,CF,Al-Duhail SC,Qatar,2.00m
126,Alphonse Areola,29,GK,West Ham United,France,8.00m
127,Alphonso Davies,22,LB,Bayern Munich,Canada,70.00m
128,Álvaro Aguado,26,CM,Real Valladolid CF,Spain,3.00m
129,Álvaro Fernández,24,GK,RCD Espanyol Barcelona,Spain,3.00m
130,Álvaro García,30,LW,Rayo Vallecano,Spain,6.00m
131,Álvaro Morata,30,CF,Atlético de Madrid,Spain,25.00m
132,Álvaro Negredo,37,CF,Cádiz CF,Spain,1.20m
133,Álvaro Zamora,20,LM,Deportivo Saprissa,Costa Rica,200k
134,Amadou Haidara,25,CM,RB Leipzig,Mali,17.00m
135,Amadou Onana,21,DM,Everton FC,Belgium,35.00m
136,Amath Ndiaye,26,LW,RCD Mallorca,Senegal,2.00m
137,Amine Adli,22,RW,Bayer 04 Leverkusen,France,12.00m
138,Amine Gouiri,23,CF,Stade Rennais FC,France,38.00m
139,Amine Harit,25,AM,Olympique Marseille,Morocco,14.00m
140,Amine Salama,22,CF,Angers SCO,France,1.80m
141,Amir Abedzadeh,29,GK,SD Ponferradina,Iran,1.50m
142,Amos Pieper,25,CB,SV Werder Bremen,Germany,6.00m
143,Ander Barrenetxea,21,LW,Real Sociedad,Spain,6.00m
144,Ander Guevara,25,CM,Real Sociedad,Spain,5.00m
145,Ander Herrera,33,CM,Athletic Bilbao,Spain,4.00m
146,András Schäfer,23,CM,1.FC Union Berlin,Hungary,5.00m
147,André Almeida,22,CM,Valencia CF,Portugal,14.00m
148,André Gomes,29,CM,LOSC Lille,Portugal,14.00m
149,André Hahn,32,RW,FC Augsburg,Germany,2.00m
150,André Onana,26,GK,Inter Milan,Cameroon,14.00m
151,André Silva,27,CF,RB Leipzig,Portugal,24.00m
152,André Zambo Anguissa,Информация про игрока не найдена,Информация про игрока не найдена,Информация про игрока не найдена,Информация про игрока не найдена,Информация про игрока не найдена
153,Andrea Barberis,29,DM,AC Monza,Italy,1.30m
154,Andrea Belotti,29,CF,AS Roma,Italy,15.00m
155,Andrea Cambiaso,23,LB,Bologna FC 1909,Italy,6.50m
156,Andrea Carboni,22,CB,Venezia FC,Italy,4.00m
157,Andrea Colpani,23,CM,AC Monza,Italy,2.50m
158,Andrea Consigli,36,GK,US Sassuolo,Italy,1.50m
159,Andrea Conti,28,RB,UC Sampdoria,Italy,1.00m
160,Andrea Petagna,27,CF,AC Monza,Italy,10.00m
161,Andrea Pinamonti,23,CF,US Sassuolo,Italy,20.00m
162,Andreas Bruus,24,RB,ESTAC Troyes,Denmark,2.00m
163,Andreas Christensen,26,CB,FC Barcelona,Denmark,30.00m
164,Andreas Pereira,27,AM,Fulham FC,Brazil,13.00m
165,Andreas Skov Olsen,23,RM,Club Brugge KV,Denmark,20.00m
166,Andrei Girotto,31,CB,FC Nantes,Brazil,4.00m
167,Andrej Kramaric,31,CF,TSG 1899 Hoffenheim,Croatia,9.00m
168,Andrés Guardado,36,CM,Real Betis Balompié,Mexico,1.50m
169,Andrew Robertson,28,LB,Liverpool FC,Scotland,55.00m
170,Andrija Zivkovic,26,RW,PAOK Thessaloniki,Serbia,6.00m
171,Andriy Chevtchenko,Информация про игрока не найдена,Информация про игрока не найдена,Информация про игрока не найдена,Информация про игрока не найдена,Информация про игрока не найдена
172,Andriy Lunin,24,GK,Real Madrid,Ukraine,4.00m
173,Andy Delort,31,CF,FC Nantes,Algeria,12.00m
174,Ángel Algobia,23,DM,Getafe CF,Spain,1.50m
175,Ángel Correa,27,RW,Atlético de Madrid,Argentina,40.00m
176,Ángel Di María,35,RW,Juventus FC,Argentina,10.00m
177,Angel Gomes,22,AM,LOSC Lille,England,13.00m
178,Ángel Rodríguez,35,CF,RCD Mallorca,Spain,1.00m
179,Angeliño,26,LB,TSG 1899 Hoffenheim,Spain,20.00m
180,Angelo Fulgini,26,AM,RC Lens,France,9.00m
181,Angelo Preciado,25,RB,KRC Genk,Ecuador,4.00m
182,Angelo Stiller,21,DM,TSG 1899 Hoffenheim,Germany,6.00m
183,Anis Slimane,21,CM,Bröndby IF,Tunisia,3.50m
184,Ansu Fati,20,LW,FC Barcelona,Spain,50.00m
185,Ante Budimir,31,CF,CA Osasuna,Croatia,6.00m
186,Ante Palaversa,22,CM,ESTAC Troyes,Croatia,1.20m
187,Ante Rebic,29,LW,AC Milan,Croatia,13.00m
188,Anthony Caci,25,LB,1.FSV Mainz 05,France,7.00m
189,Anthony Contreras,23,CF,CS Herediano,Costa Rica,375k
190,Anthony Elanga,20,LW,Manchester United,Sweden,25.00m
191,Anthony Gordon,22,LW,Newcastle United,England,40.00m
192,Anthony Jung,31,LB,SV Werder Bremen,Germany,1.00m
193,Anthony Lopes,32,GK,Olympique Lyon,Portugal,9.00m
194,Anthony Losilla,36,DM,VfL Bochum,France,500k
195,Anthony Martial,27,CF,Manchester United,France,15.00m
196,Anthony Modeste,34,CF,Borussia Dortmund,France,4.00m
197,Anthony Rouault,21,CB,FC Toulouse,France,6.00m
198,Antoine Griezmann,31,SS,Atlético de Madrid,France,25.00m
199,Anton Stach,24,DM,1.FSV Mainz 05,Germany,15.00m
200,Antonino Gallo,23,LB,US Lecce,Italy,2.00m
201,Antonio Candreva,35,RM,US Salernitana 1919,Italy,1.50m
202,Antonio Nusa,17,LW,Club Brugge KV,Norway,4.50m
203,Antonio Raíllo,31,CB,RCD Mallorca,Spain,3.00m
204,Antonio Rüdiger,29,CB,Real Madrid,Germany,40.00m
205,Antonio Sanabria,26,CF,Torino FC,Paraguay,7.00m
206,Antonio Sánchez,25,CM,RCD Mallorca,Spain,1.80m
207,António Silva,19,CB,SL Benfica,Portugal,15.00m
208,Antonios Papadopoulos,23,CB,Borussia Dortmund II,Germany,600k
209,Antony,23,RW,Manchester United,Brazil,75.00m
210,Arbër Zeneli,28,LW,Stade Reims,Kosovo,4.00m
211,Ardian Ismajli,26,CB,FC Empoli,Albania,2.20m
212,Arial Mendy,28,LB,Grenoble Foot 38,Senegal,800k
213,Aritz Elustondo,28,CB,Real Sociedad,Spain,14.00m
214,Arkadiusz Milik,28,CF,Juventus FC,Poland,10.00m
215,Arkadiusz Reca,27,LB,Spezia Calcio,Poland,3.00m
216,Armando Broja,21,CF,Chelsea FC,Albania,30.00m
217,Armando Izzo,30,CB,AC Monza,Italy,2.80m
218,Armel Bella-Kotchap,21,CB,Southampton FC,Germany,18.00m
219,Arnau Martínez,19,RB,Girona FC,Spain,9.00m
220,Arnau Puigmal,22,CM,UD Almería,Spain,2.00m
221,Arnaud Kalimuendo,21,CF,Stade Rennais FC,France,25.00m
222,Arnaud Nordin,24,RW,Montpellier HSC,France,4.00m
223,Arnaud Souquet,31,RB,Chicago Fire FC,France,2.00m
224,Arnaut Danjuma,26,LW,Tottenham Hotspur,Netherlands,35.00m
225,Arne Maier,24,CM,FC Augsburg,Germany,5.50m
226,Arthur Theate,22,CB,Stade Rennais FC,Belgium,20.00m
227,Ashley Young,37,RB,Aston Villa,England,1.00m
228,Asier Illarramendi,32,DM,Real Sociedad,Spain,2.00m
229,Asier Villalibre,25,CF,Deportivo Alavés,Spain,2.50m
230,Assan Ceesay,28,CF,US Lecce,The Gambia,3.00m
231,Aster Vranckx,20,CM,AC Milan,Belgium,10.00m
232,Atakan Karazor,26,DM,VfB Stuttgart,Germany,4.50m
233,Augusto Solari,31,RW,Celta de Vigo,Argentina,2.50m
234,Aurélien Tchouameni,23,DM,Real Madrid,France,90.00m
235,Axel Disasi,24,CB,AS Monaco,France,25.00m
236,Axel Witsel,34,DM,Atlético de Madrid,Belgium,5.00m
237,Aymen Barkok,24,CM,1.FSV Mainz 05,Morocco,1.50m
238,Aymen Dahmen,26,GK,Club Sportif Sfaxien,Tunisia,1.00m
239,Aymeric Laporte,28,CB,Manchester City,Spain,38.00m
240,Ayoze Pérez,29,SS,Real Betis Balompié,Spain,6.00m
241,Azzedine Ounahi,22,CM,Olympique Marseille,Morocco,15.00m
242,Bafodé Diakité,22,RB,LOSC Lille,France,4.50m
243,Bamba Dieng,22,CF,FC Lorient,Senegal,8.00m
244,Bartlomiej Dragowski,25,GK,Spezia Calcio,Poland,4.50m
245,Bartol Franjic,23,DM,VfL Wolfsburg,Croatia,6.50m
246,Bartosz Bereszynski,30,RB,SSC Napoli,Poland,3.00m
247,Bassam Al-Rawi,25,CB,Al-Duhail SC,Qatar,500k
248,Batista Mendy,23,DM,Angers SCO,France,3.00m
249,Ben Cabango,22,CB,Swansea City,Wales,8.00m
250,Ben Chilwell,26,LB,Chelsea FC,England,38.00m
251,Ben Davies,29,LB,Tottenham Hotspur,Wales,20.00m
252,Ben Johnson,23,RB,West Ham United,England,12.00m
253,Ben Mee,33,CB,Brentford FC,England,1.80m
254,Ben White,25,RB,Arsenal FC,England,45.00m
255,Beñat Turrientes,21,CM,Real Sociedad,Spain,2.00m
256,Benjamin André,32,DM,LOSC Lille,France,10.00m
257,Benjamin Bourigeaud,29,RM,Stade Rennais FC,France,18.00m
258,Benjamin Henrichs,26,RB,RB Leipzig,Germany,15.00m
259,Benjamin Lecomte,31,GK,Montpellier HSC,France,4.00m
260,Benjamin Leroy,33,GK,AC Ajaccio,France,600k
261,Benjamin Pavard,26,RB,Bayern Munich,France,35.00m
262,Benno Schmitz,28,RB,1. FC Köln,Germany,3.00m
263,Benoît Badiashile,21,CB,Chelsea FC,France,40.00m
264,Benoît Costil,35,GK,LOSC Lille,France,1.50m
265,Berat Djimsiti,30,CB,Atalanta BC,Albania,13.00m
266,Bernardo Espinosa,33,CB,Girona FC,Colombia,1.50m
267,Bernardo Silva,28,AM,Manchester City,Portugal,80.00m
268,Bernd Leno,30,GK,Fulham FC,Germany,10.00m
269,Beto,40,GK,Клуба нет,Portugal,-
270,Billal Brahimi,22,LW,OGC Nice,Algeria,4.00m
271,Billy Gilmour,21,CM,Brighton & Hove Albion,Scotland,12.00m
272,Bingourou Kamara,26,GK,Montpellier HSC,Senegal,800k
273,Birama Touré,30,DM,AJ Auxerre,Mali,1.50m
274,Birger Meling,28,LB,Stade Rennais FC,Norway,6.00m
275,Bjorn Meijer,19,LB,Club Brugge KV,Netherlands,6.50m
276,Bobby Reid,30,AM,Fulham FC,Jamaica,7.00m
277,Bonke Innocent,27,DM,FC Lorient,Nigeria,2.00m
278,Bono,31,GK,Sevilla FC,Morocco,15.00m
279,Borja Iglesias,30,CF,Real Betis Balompié,Spain,25.00m
280,Borja Mayoral,25,CF,Getafe CF,Spain,9.00m
281,Borna Barisic,30,LB,Rangers FC,Croatia,6.50m
282,Borna Sosa,25,LB,VfB Stuttgart,Croatia,20.00m
283,Boualem Khoukhi,32,CB,Al-Sadd SC,Qatar,400k
284,Boubacar Traoré,21,DM,Wolverhampton Wanderers,Mali,5.00m
285,Boubakary Soumaré,23,DM,Leicester City,France,25.00m
286,Boulaye Dia,26,CF,US Salernitana 1919,Senegal,12.00m
287,Bradley Barcola,20,LW,Olympique Lyon,France,2.00m
288,Bradley Locko,20,LB,Stade Brestois 29,France,3.50m
289,Brahim Díaz,23,AM,AC Milan,Spain,20.00m
290,Braian Cufré,26,LB,New York City FC,Argentina,1.20m
291,Brais Méndez,26,AM,Real Sociedad,Spain,30.00m
292,Branco van den Boomen,27,CM,FC Toulouse,Netherlands,7.00m
293,Brandon Aguilera,19,AM,GD Estoril Praia,Costa Rica,275k
294,Brandon Mechele,30,CB,Club Brugge KV,Belgium,6.50m
295,Brandon Soppy,21,RB,Atalanta BC,France,10.00m
296,Brecht Dejaegere,31,CM,FC Toulouse,Belgium,1.80m
297,Breel Embolo,26,CF,AS Monaco,Switzerland,20.00m
298,Bremer,25,CB,Juventus FC,Brazil,40.00m
299,Brendan Chardonnet,28,CB,Stade Brestois 29,France,5.00m
300,Brenden Aaronson,22,AM,Leeds United,United States,30.00m
301,Brennan Johnson,21,SS,Nottingham Forest,Wales,20.00m
302,Brian Brobbey,21,CF,Ajax Amsterdam,Netherlands,14.00m
303,Brian Ocampo,23,LW,Cádiz CF,Uruguay,2.00m
304,Brian Oliván,28,LB,RCD Espanyol Barcelona,Spain,5.00m
305,Brice Samba,28,GK,RC Lens,France,8.00m
306,Bruno Amione,21,CB,UC Sampdoria,Argentina,2.00m
307,Bruno Costa,25,CM,FC Porto B,Portugal,2.50m
308,Bruno Fernandes,28,AM,Manchester United,Portugal,75.00m
309,Bruno Guimarães,25,DM,Newcastle United,Brazil,60.00m
310,Bryan Cristante,27,DM,AS Roma,Italy,20.00m
311,Bryan Gil,22,LW,Sevilla FC,Spain,12.00m
312,Bryan Mbeumo,23,RW,Brentford FC,Cameroon,28.00m
313,Bryan Oviedo,33,LB,Real Salt Lake City,Costa Rica,200k
314,Bryan Ruiz,37,AM,Клуба нет,Costa Rica,-
315,Bukayo Saka,21,RW,Arsenal FC,England,100.00m
316,Caglar Söyüncü,26,CB,Leicester City,Turkey,22.00m
317,Caio Henrique,25,LB,AS Monaco,Brazil,20.00m
318,Caleb Okoli,21,CB,Atalanta BC,Italy,10.00m
319,Callum Hudson-Odoi,22,LW,Bayer 04 Leverkusen,England,25.00m
320,Calum Chambers,28,CB,Aston Villa,England,10.00m
321,Cameron Archer,21,CF,Middlesbrough FC,England,8.00m
322,Carles Pérez,25,RW,Celta de Vigo,Spain,4.00m
323,Carlos Augusto,33,CB,Club Alianza Lima,Peru,400k
324,Carlos Baleba,19,CM,LOSC Lille,Cameroon,800k
325,Carlos Clerc,31,LB,Elche CF,Spain,2.00m
326,Carlos Fernández,26,CF,Real Sociedad,Spain,4.00m
327,Carlos Gruezo,27,DM,San Jose Earthquakes,Ecuador,4.00m
328,Carlos Rodríguez,26,CM,CD Cruz Azul,Mexico,8.00m
329,Carlos Soler,26,CM,Paris Saint-Germain,Spain,35.00m
330,Carlos Vinícius,27,CF,Fulham FC,Brazil,5.00m
331,Carney Chukwuemeka,19,CM,Chelsea FC,England,15.00m
332,Casemiro,31,DM,Manchester United,Brazil,50.00m
333,Casper Nielsen,28,CM,Club Brugge KV,Denmark,8.00m
334,Castello Lukeba,20,CB,Olympique Lyon,France,20.00m
335,Cédric Avinel,36,CB,AC Ajaccio,Guadeloupe,300k
336,Cédric Brunner,29,RB,FC Schalke 04,Switzerland,2.50m
337,Cédric Hountondji,29,CB,Angers SCO,Benin,3.00m
338,Cédric Soares,31,RB,Fulham FC,Portugal,4.00m
339,Celso Borges,34,CM,LD Alajuelense,Costa Rica,200k
340,Cengiz Ünder,25,RW,Olympique Marseille,Turkey,17.00m
341,Cenk Özkacar,22,CB,Valencia CF,Turkey,1.80m
342,César Azpilicueta,33,RB,Chelsea FC,Spain,8.00m
343,César de la Hoz,30,CM,UD Almería,Spain,1.20m
344,César Montes,26,CB,RCD Espanyol Barcelona,Mexico,7.00m
345,Chancel Mbemba,28,CB,Olympique Marseille,DR Congo,17.00m
346,Charalampos Lykogiannis,29,LB,Bologna FC 1909,Greece,1.50m
347,Charles Aránguiz,33,CM,Bayer 04 Leverkusen,Chile,3.50m
348,Charles De Ketelaere,21,AM,AC Milan,Belgium,30.00m
349,Charles Pickel,25,DM,US Cremonese,Switzerland,3.80m
350,Ché Adams,26,CF,Southampton FC,Scotland,22.00m
351,Cheick Doucouré,23,DM,Crystal Palace,Mali,30.00m
352,Cheikhou Kouyaté,33,DM,Nottingham Forest,Senegal,3.00m
353,Chimy Ávila,29,CF,CA Osasuna,Argentina,10.00m
354,Chiquinho,27,CM,SL Benfica,Portugal,4.00m
355,Choco Lozano,29,CF,Cádiz CF,Honduras,2.80m
356,Chris Führich,25,RW,VfB Stuttgart,Germany,4.00m
357,Chris Mepham,25,CB,AFC Bournemouth,Wales,6.00m
358,Chris Smalling,33,CB,AS Roma,England,8.00m
359,Chris Wood,31,CF,Nottingham Forest,New Zealand,10.00m
360,Chrislain Matsima,20,CB,AS Monaco,France,4.00m
361,Christian Eriksen,31,CM,Manchester United,Denmark,25.00m
362,Christian Groß,68,DM,Клуба нет,Switzerland,-
363,Christian Günter,29,LB,SC Freiburg,Germany,10.00m
364,Christian Gytkjaer,32,CF,AC Monza,Denmark,1.30m
365,Christian Pulisic,24,RW,Chelsea FC,United States,38.00m
366,Christoph Baumgartner,23,AM,TSG 1899 Hoffenheim,Austria,20.00m
367,Christoph Kramer,32,DM,Borussia Mönchengladbach,Germany,2.50m
368,Christophe Hérelle,30,CB,Stade Brestois 29,Martinique,2.50m
369,Christopher Antwi-Adjei,29,LW,VfL Bochum,Ghana,1.00m
370,Christopher Jullien,29,CB,Montpellier HSC,France,3.50m
371,Christopher Lenz,28,LB,Eintracht Frankfurt,Germany,5.00m
372,Christopher Nkunku,25,SS,RB Leipzig,France,80.00m
373,Christopher Trimmel,36,RB,1.FC Union Berlin,Austria,800k
374,Christopher Wooh,21,CB,Stade Rennais FC,Cameroon,6.00m
375,Chumi,23,CB,UD Almería,Spain,2.00m
376,Ciprian Tatarusanu,37,GK,AC Milan,Romania,600k
377,Ciro Immobile,33,CF,SS Lazio,Italy,23.00m
378,Cisse Sandra,19,AM,Club Brugge KV,Belgium,1.20m
379,Claudio Bravo,39,GK,Real Betis Balompié,Chile,1.00m
380,Clément Grenier,32,CM,RCD Mallorca,France,900k
381,Clément Lenglet,27,CB,Tottenham Hotspur,France,12.00m
382,Clément Vidal,22,CB,AC Ajaccio,France,1.50m
383,Clinton Mata,30,RB,Club Brugge KV,Angola,7.00m
384,Cody Gakpo,23,LW,Liverpool FC,Netherlands,60.00m
385,Cole Palmer,20,AM,Manchester City,England,15.00m
386,Colin Dagba,24,RB,RC Strasbourg Alsace,France,5.00m
387,Collins Fai,30,RB,Al-Tai,Cameroon,1.00m
388,Conor Coady,30,CB,Everton FC,England,18.00m
389,Conor Gallagher,23,CM,Chelsea FC,England,32.00m
390,Corentin Tolisso,28,CM,Olympique Lyon,France,14.00m
391,Craig Dawson,32,CB,Wolverhampton Wanderers,England,2.50m
392,Cristhian Stuani,36,CF,Girona FC,Uruguay,2.00m
393,Cristian Buonaiuto,30,LW,US Cremonese,Italy,800k
394,Cristian Gamboa,33,RB,VfL Bochum,Costa Rica,700k
395,Cristian Romero,24,CB,Tottenham Hotspur,Argentina,60.00m
396,Cristiano Biraghi,30,LB,ACF Fiorentina,Italy,6.50m
397,Cristiano Ronaldo,38,CF,Al-Nassr FC,Portugal,20.00m
398,Crysencio Summerville,21,RW,Leeds United,Netherlands,4.00m
399,Curtis Jones,22,CM,Liverpool FC,England,22.00m
400,Cyle Larin,27,CF,Real Valladolid CF,Canada,6.00m
401,Cyriel Dessers,28,CF,US Cremonese,Nigeria,6.00m
402,Cyrille Bayala,26,RW,AC Ajaccio,Burkina Faso,1.00m
403,Daichi Kamada,26,AM,Eintracht Frankfurt,Japan,30.00m
404,Daley Blind,32,LB,Bayern Munich,Netherlands,6.00m
405,Daley Sinkgraven,27,LB,Bayer 04 Leverkusen,Netherlands,3.00m
406,Damián Suárez,34,RB,Getafe CF,Uruguay,1.50m
407,Damien Da Silva,34,CB,Melbourne Victory,France,600k
408,Dan Burn,30,CB,Newcastle United,England,12.00m
409,Dan-Axel Zagadou,23,CB,VfB Stuttgart,France,5.00m
410,Dani García,48,CF,Клуба нет,Spain,-
